Country/State,Region,Sub Region,Variety or color,Vintage,Score,Ideal years
california,napa,none,chardonnay,1995,92,2012:2014
california,napa,none,chardonnay,1996,90,2012:2014
california,napa,none,chardonnay,1997,94,2012:2014
california,napa,none,chardonnay,1998,87,2012:2014
california,napa,none,chardonnay,1999,88,2012:2014
california,napa,none,chardonnay,2000,88,2012:2014
california,napa,none,chardonnay,2001,90,2012:2014
california,napa,none,chardonnay,2002,90,2012:2014
california,napa,none,chardonnay,2003,85,2012:2014
california,napa,none,chardonnay,2004,85,2012:2014
california,napa,none,chardonnay,2005,86,2012:2014
california,napa,none,chardonnay,2006,86,2012:2014
california,napa,none,chardonnay,2007,90,2012:2014
california,napa,none,chardonnay,2008,87,2012:2014
california,napa,none,chardonnay,2009,88,2012:2014
california,napa,none,chardonnay,2010,87,2012:2014
california,napa,none,chardonnay,2011,87,2012:2014
california,napa,none,chardonnay,2012,91,2012:2014
california,napa,none,chardonnay,2013,91,2012:2014
california,napa,none,chardonnay,2014,92,2012:2014
california,napa,none,chardonnay,2015,90,2012:2014
california,napa,none,chardonnay,2016,94,2012:2014
california,napa,none,chardonnay,2017,90,2012:2014
california,napa,none,chardonnay,2018,93,2012:2014
california,napa,none,cabernet sauvignon,1995,95,2010:2014
california,napa,none,cabernet sauvignon,1996,93,2010:2014
california,napa,none,cabernet sauvignon,1997,96,2010:2014
california,napa,none,cabernet sauvignon,1998,85,2010:2014
california,napa,none,cabernet sauvignon,1999,93,2010:2014
california,napa,none,cabernet sauvignon,2000,85,2010:2014
california,napa,none,cabernet sauvignon,2001,98,2010:2014
california,napa,none,cabernet sauvignon,2002,93,2010:2014
california,napa,none,cabernet sauvignon,2003,90,2010:2014
california,napa,none,cabernet sauvignon,2004,90,2010:2014
california,napa,none,cabernet sauvignon,2005,95,2010:2014
california,napa,none,cabernet sauvignon,2006,90,2010:2014
california,napa,none,cabernet sauvignon,2007,95,2010:2014
california,napa,none,cabernet sauvignon,2008,92,2010:2014
california,napa,none,cabernet sauvignon,2009,89,2010:2014
california,napa,none,cabernet sauvignon,2010,89,2010:2014
california,napa,none,cabernet sauvignon,2011,89,2010:2014
california,napa,none,cabernet sauvignon,2012,95,2010:2014
california,napa,none,cabernet sauvignon,2013,95,2010:2014
california,napa,none,cabernet sauvignon,2014,94,2010:2014
california,napa,none,cabernet sauvignon,2015,95,2010:2014
california,napa,none,cabernet sauvignon,2016,95,2010:2014
california,napa,none,cabernet sauvignon,2017,90,2010:2014
california,napa,none,cabernet sauvignon,2018,94,2010:2014
california,napa,none,zinfandel,1995,90,2012:2014
california,napa,none,zinfandel,1996,88,2012:2014
california,napa,none,zinfandel,1997,89,2012:2014
california,napa,none,zinfandel,1998,85,2012:2014
california,napa,none,zinfandel,1999,90,2012:2014
california,napa,none,zinfandel,2000,85,2012:2014
california,napa,none,zinfandel,2001,91,2012:2014
california,napa,none,zinfandel,2002,86,2012:2014
california,napa,none,zinfandel,2003,88,2012:2014
california,napa,none,zinfandel,2004,90,2012:2014
california,napa,none,zinfandel,2005,87,2012:2014
california,napa,none,zinfandel,2006,87,2012:2014
california,napa,none,zinfandel,2007,94,2012:2014
california,napa,none,zinfandel,2008,89,2012:2014
california,napa,none,zinfandel,2009,89,2012:2014
california,napa,none,zinfandel,2010,89,2012:2014
california,napa,none,zinfandel,2011,89,2012:2014
california,napa,none,zinfandel,2012,92,2012:2014
california,napa,none,zinfandel,2013,93,2012:2014
california,napa,none,zinfandel,2014,93,2012:2014
california,napa,none,zinfandel,2015,93,2012:2014
california,napa,none,zinfandel,2016,93,2012:2014
california,napa,none,zinfandel,2017,89,2012:2014
california,napa,none,zinfandel,2018,90,2012:2014
california,napa,carneros,pinot noir,1995,91,2012:2014
california,napa,carneros,pinot noir,1996,91,2012:2014
california,napa,carneros,pinot noir,1997,92,2012:2014
california,napa,carneros,pinot noir,1998,91,2012:2014
california,napa,carneros,pinot noir,1999,93,2012:2014
california,napa,carneros,pinot noir,2000,94,2012:2014
california,napa,carneros,pinot noir,2001,93,2012:2014
california,napa,carneros,pinot noir,2002,87,2012:2014
california,napa,carneros,pinot noir,2003,90,2012:2014
california,napa,carneros,pinot noir,2004,89,2012:2014
california,napa,carneros,pinot noir,2005,90,2012:2014
california,napa,carneros,pinot noir,2006,94,2012:2014
california,napa,carneros,pinot noir,2007,86,2012:2014
california,napa,carneros,pinot noir,2008,93,2012:2014
california,napa,carneros,pinot noir,2009,89,2012:2014
california,napa,carneros,pinot noir,2010,89,2012:2014
california,napa,carneros,pinot noir,2011,85,2012:2014
california,napa,carneros,pinot noir,2012,87,2012:2014
california,napa,carneros,pinot noir,2013,85,2012:2014
california,napa,carneros,pinot noir,2014,87,2012:2014
california,napa,carneros,pinot noir,2015,83,2012:2014
california,napa,carneros,pinot noir,2016,85,2012:2014
california,napa,carneros,pinot noir,2017,86,2012:2014
california,napa,carneros,pinot noir,2018,88,2012:2014
oregon,willamette valley,none,pinot noir,1995,92,2008:2011
oregon,willamette valley,none,pinot noir,1996,93,2008:2011
oregon,willamette valley,none,pinot noir,1997,91,2008:2011
oregon,willamette valley,none,pinot noir,1998,95,2008:2011
oregon,willamette valley,none,pinot noir,1999,93,2008:2011
oregon,willamette valley,none,pinot noir,2000,92,2008:2011
oregon,willamette valley,none,pinot noir,2001,93,2008:2011
oregon,willamette valley,none,pinot noir,2002,91,2008:2011
oregon,willamette valley,none,pinot noir,2003,87,2008:2011
oregon,willamette valley,none,pinot noir,2004,91,2008:2011
oregon,willamette valley,none,pinot noir,2005,92,2008:2011
oregon,willamette valley,none,pinot noir,2006,86,2008:2011
oregon,willamette valley,none,pinot noir,2007,94,2008:2011
oregon,willamette valley,none,pinot noir,2008,89,2008:2011
oregon,willamette valley,none,pinot noir,2009,92,2008:2011
oregon,willamette valley,none,pinot noir,2010,86,2008:2011
oregon,willamette valley,none,pinot noir,2011,88,2008:2011
oregon,willamette valley,none,pinot noir,2012,89,2008:2011
oregon,willamette valley,none,pinot noir,2013,91,2008:2011
oregon,willamette valley,none,pinot noir,2014,94,2008:2011
oregon,willamette valley,none,pinot noir,2015,92,2008:2011
oregon,willamette valley,none,pinot noir,2016,84,2008:2011
oregon,willamette valley,none,pinot noir,2017,87,2008:2011
oregon,willamette valley,none,pinot noir,2018,86,2008:2011
