Country/State,Region,Sub Region,Variety or color,Vintage,Score,Ideal years,,,
California,Napa,Null,Chardonnay,1995,92,2012:2014,,,
California,Napa,Null,Chardonnay,1996,90,2012:2014,,,
California,Napa,Null,Chardonnay,1997,94,2012:2014,,,
California,Napa,Null,Chardonnay,1998,87,2012:2014,,,
California,Napa,Null,Chardonnay,1999,88,2012:2014,,,
California,Napa,Null,Chardonnay,2000,88,2012:2014,,,
California,Napa,Null,Chardonnay,2001,90,2012:2014,,,
California,Napa,Null,Chardonnay,2002,90,2012:2014,,,
California,Napa,Null,Chardonnay,2003,85,2012:2014,,,
California,Napa,Null,Chardonnay,2004,85,2012:2014,,,
California,Napa,Null,Chardonnay,2005,86,2012:2014,,,
California,Napa,Null,Chardonnay,2006,86,2012:2014,,,
California,Napa,Null,Chardonnay,2007,90,2012:2014,,,
California,Napa,Null,Chardonnay,2008,87,2012:2014,,,
California,Napa,Null,Chardonnay,2009,88,2012:2014,,,
California,Napa,Null,Chardonnay,2010,87,2012:2014,,,
California,Napa,Null,Chardonnay,2011,87,2012:2014,,,
California,Napa,Null,Chardonnay,2012,91,2012:2014,,,
California,Napa,Null,Chardonnay,2013,91,2012:2014,,,
California,Napa,Null,Chardonnay,2014,92,2012:2014,,,
California,Napa,Null,Chardonnay,2015,90,2012:2014,,,
California,Napa,Null,Chardonnay,2016,94,2012:2014,,,
California,Napa,Null,Chardonnay,2017,90,2012:2014,,,
California,Napa,Null,Chardonnay,2018,93,2012:2014,,,
California,Napa,Null,Cabernet Sauvignon,1995,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,1996,93,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,1997,96,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,1998,85,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,1999,93,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2000,85,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2001,98,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2002,93,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2003,90,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2004,90,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2005,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2006,90,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2007,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2008,92,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2009,89,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2010,89,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2011,89,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2012,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2013,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2014,94,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2015,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2016,95,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2017,90,2010:2014,,,
California,Napa,Null,Cabernet Sauvignon,2018,94,2010:2014,,,
California,Napa,Null,Zinfandel,1995,90,2012:2014,,,
California,Napa,Null,Zinfandel,1996,88,2012:2014,,,
California,Napa,Null,Zinfandel,1997,89,2012:2014,,,
California,Napa,Null,Zinfandel,1998,85,2012:2014,,,
California,Napa,Null,Zinfandel,1999,90,2012:2014,,,
California,Napa,Null,Zinfandel,2000,85,2012:2014,,,
California,Napa,Null,Zinfandel,2001,91,2012:2014,,,
California,Napa,Null,Zinfandel,2002,86,2012:2014,,,
California,Napa,Null,Zinfandel,2003,88,2012:2014,,,
California,Napa,Null,Zinfandel,2004,90,2012:2014,,,
California,Napa,Null,Zinfandel,2005,87,2012:2014,,,
California,Napa,Null,Zinfandel,2006,87,2012:2014,,,
California,Napa,Null,Zinfandel,2007,94,2012:2014,,,
California,Napa,Null,Zinfandel,2008,89,2012:2014,,,
